Timestamp,Category,Caption
2026-01-09 23:54:14.881,person,a man wearing headphones sitting in front of a computer
2026-01-09 23:54:18.303,person,a man wearing headphones sitting in front of a computer
2026-01-09 23:54:21.859,person,a man wearing headphones sitting in front of a computer
2026-01-09 23:54:25.150,person,a man wearing headphones sitting in front of a computer
2026-01-09 23:54:28.561,person,a man wearing headphones sitting in front of a computer
2026-01-09 23:54:31.983,person,a man wearing headphones sitting in front of a computer
2026-01-09 23:54:35.393,person,a man wearing headphones sitting in front of a computer
2026-01-11 01:38:59.164,car,a white car driving down the road
2026-01-11 01:39:02.649,car,a white car driving down a road next to a house
2026-01-11 01:39:05.958,car,a white suv driving down the road
2026-01-11 01:39:09.711,car,a white van is driving down the road
2026-01-11 01:39:13.339,car,a white van is driving down the road
2026-01-11 01:39:17.095,car,a police car is seen in this image
2026-01-11 01:39:20.056,person,a man is seen in this surveillance image
2026-01-11 01:39:23.438,person,two men are seen in this surveillance image
2026-01-11 01:39:27.141,person,two men are standing on the sidewalk in front of a building
2026-01-11 01:39:30.312,person,a man in a black suit is standing on a sidewalk
2026-01-11 01:39:33.543,person,a man in a suit is walking down the street
2026-01-11 01:39:36.769,person,a man in a suit is walking down the street
2026-01-11 01:39:40.140,person,a man is seen in this surveillance image
2026-01-11 01:39:43.407,person,a man is seen in this surveillance image
2026-01-11 01:39:47.294,person,a man is seen in this surveillance image
2026-01-11 01:39:50.709,person,a man in a suit and tie walking down the street
2026-01-11 01:39:53.969,person,a man is walking down the street in a black suit
2026-01-11 01:39:56.862,person,a man is seen in this surveillance image
2026-01-11 01:40:00.385,person,a man is seen in this surveillance image
2026-01-11 01:40:01.055,car,a white van is driving down the road
2026-01-11 01:40:03.576,car,a white van is driving down the road
2026-01-11 01:40:04.131,car,a white car is driving down the road
2026-01-11 01:40:04.653,person,a man is seen in this surveillance image
2026-01-11 01:40:08.605,person,the man is walking down the stairs in the building
2026-01-11 01:40:09.186,car,a white van is driving down the road
2026-01-11 01:40:09.762,person,two men are seen in this surveillance image
2026-01-11 01:40:12.456,car,a white car driving down the road
2026-01-11 01:40:13.270,person,the man is walking down the street with his hand on his hip
2026-01-11 01:40:16.414,car,a white car is driving down the road
2026-01-11 01:40:17.233,person,a man is walking across the street in the middle of the street
2026-01-11 01:40:19.620,car,a white car driving down the road
2026-01-11 01:40:23.158,car,a white van is driving down the road
2026-01-11 01:40:23.730,car,a white car is driving down the road
2026-01-11 01:40:26.013,car,a white suv driving down the road
2026-01-11 01:40:26.568,car,a white car is driving down the road
2026-01-11 01:40:27.071,car,a white car driving down the road
2026-01-11 01:40:30.274,car,a white car driving down a highway
2026-01-11 01:40:30.762,car,a white car driving down the road
2026-01-11 01:40:34.438,car,the front view of a white car in a parking lot
2026-01-11 01:40:34.935,car,a white car driving down the road
2026-01-11 01:40:38.789,car,a white car is driving down the road
2026-01-11 01:40:39.461,car,a white van is driving down the road
2026-01-11 01:40:39.933,car,a white van driving down the road
2026-01-11 01:40:42.202,car,a white car driving down the road
2026-01-11 01:40:42.875,car,a white car driving down the road
2026-01-11 01:40:45.404,car,a white car driving down the road
2026-01-11 01:40:49.357,car,a white car driving down the road
2026-01-11 01:40:49.915,car,a white van is driving down the road
2026-09-06 21:17:57.101,person,a man in a red shirt sitting in front of a window
2026-09-06 21:18:00.439,person,a man in a red shirt sitting in front of a window
2026-09-06 21:18:03.730,person,a man in a red shirt sitting in front of a window
2026-09-06 21:18:06.694,person,a man in a red shirt sitting at a table
2026-09-06 21:18:09.846,person,a man in a red shirt sitting at a table
2026-09-06 21:18:13.071,person,a man in a red shirt sitting at a table
2026-09-06 21:18:16.252,person,a man in a red shirt drinking from a bottle
2026-09-06 21:18:19.585,cell phone,a man holding a cell phone in his hand
2026-09-06 21:18:19.917,person,a man holding a cell phone in his hand
2026-09-06 21:18:22.766,cell phone,a man holding a cell phone in his hand
2026-09-06 21:18:23.099,person,a man holding a cell phone in his hand
2026-09-06 21:18:26.628,person,a man holding a cell phone in his hand
2026-09-06 21:18:27.045,cell phone,a man holding a cell phone in his hand
2026-09-06 21:18:29.804,person,a man holding a cell phone in his hand
2026-09-06 21:18:30.145,cell phone,a person holding a cell phone in their hand
2026-09-06 21:18:32.945,person,a man holding a cell phone in his hand
2026-09-06 21:18:33.276,cell phone,a person holding a cell phone in their hand
2026-09-06 21:18:36.319,person,a man holding a cell phone in his hand
2026-09-06 21:18:36.676,cell phone,a woman holding a cell phone in her hand
2026-09-06 21:18:39.512,person,a man in a red shirt is holding a cell phone
2026-09-06 21:18:42.532,person,a man in a red shirt is holding a cell phone
2026-09-06 21:18:42.919,remote,a man in a red shirt holding a cell
2026-09-06 21:27:02.572,person,a man in a red shirt wearing headphones
2026-09-06 21:27:05.798,person,a man in a red shirt wearing headphones
2026-09-06 21:27:09.081,person,a man in a red shirt and headphones
2026-09-06 21:27:12.281,person,a man with headphones sitting in front of a window
2026-09-06 21:27:15.631,person,a man in a red shirt wearing headphones
2026-09-06 21:27:18.725,person,a man in a red shirt wearing headphones
2026-09-06 21:27:22.029,person,a man in a red shirt wearing headphones
2026-09-06 21:27:25.361,person,a man in a red shirt and headphones
2026-09-06 21:27:28.562,person,a man in a red shirt with headphones on
2026-09-06 21:27:31.734,person,a man in a red shirt with headphones on
2026-09-06 21:31:33.089,person,a man wearing headphones sitting in front of a window
2026-09-06 21:48:34.491,person,a man wearing headphones sitting in front of a computer
2026-09-06 21:48:37.520,person,a man wearing headphones sitting in front of a window
2026-09-06 21:48:40.740,person,a man in a red shirt is sitting down
2026-09-06 21:48:43.948,person,a man in a red shirt is sitting down
2026-09-06 21:48:47.161,person,a man wearing headphones sitting in front of a computer
2026-09-06 21:48:50.225,person,a man wearing headphones sitting in front of a window
2026-09-06 21:53:52.766,person,a man wearing headphones sitting in front of a window
2026-09-06 21:53:55.793,person,a man wearing headphones sitting in front of a window
2026-09-06 21:53:58.799,person,a man wearing headphones sitting in front of a window
2026-09-06 21:54:02.135,person,a man in headphones is standing in front of a window
2026-09-06 21:54:05.365,person,a man wearing headphones sitting in front of a computer
2026-09-06 21:54:51.964,person,a man wearing headphones and a red shirt
2026-09-06 21:54:54.232,person,a man wearing headphones and a red shirt
2026-09-06 21:54:56.258,person,a man wearing headphones and a red shirt
2026-09-06 21:54:58.568,person,a man wearing headphones and a red shirt
2026-09-06 21:55:00.864,person,a man wearing headphones and a red shirt
2026-09-06 21:55:03.020,person,a man wearing headphones and a red shirt
2026-09-06 21:55:05.315,person,a man wearing headphones and a red shirt
2026-09-06 21:55:30.041,person,a man wearing headphones is sitting in front of a window
2026-09-06 21:55:31.100,person,a man with headphones on smoking a cigarette
2026-09-06 21:55:32.148,person,a man with headphones on is smoking a cigarette
2026-09-06 21:55:33.183,person,a man with headphones on is smoking a cigarette
2026-09-06 21:55:34.205,person,a man with headphones on smoking a cigarette
2026-09-06 21:55:35.211,person,a man with headphones on smoking a cigarette
2026-09-06 21:55:36.213,person,a man with headphones on smoking a cigarette
2026-09-06 21:55:37.244,person,a man in a red shirt is smoking a cigarette
2026-09-06 21:55:38.264,person,a man with headphones on is smoking a cigarette
2026-09-06 21:55:39.260,person,a man with headphones smoking a cigarette
2026-09-06 21:55:40.351,person,a man in a red shirt is smoking a cigarette
2026-09-06 21:55:41.377,person,a man in a red shirt is sitting down
2026-09-06 21:55:42.699,person,a man in a red shirt is smoking a cigarette
2026-09-06 21:55:43.828,person,a man in a red shirt is smoking a cigarette
2026-09-06 21:55:44.896,person,a man in a red shirt is smoking a cigarette
2026-09-07 01:09:58.105,refrigerator,a black cat is sitting in the dark
2026-09-07 01:10:05.005,refrigerator,a black cat is sitting in the dark
2026-09-07 01:10:09.098,refrigerator,a man in a red shirt is wearing headphones
2026-09-07 01:10:13.220,refrigerator,a man wearing headphones is sitting in front of a window
2026-09-07 01:10:14.281,refrigerator,a man wearing headphones and a red shirt
2026-09-07 01:10:15.314,refrigerator,a man wearing headphones is sitting in front of a window
